Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
TS0069,80,CCCCCCCCCCC(OC)(OCCC)OCOC,orthoester,*COC,*CCC,*OC,*CCCCCCCCCC,6.377829074859619,0.3856275081634521,3.2044035362015943,4.864500000000005,Targeted_search
TS0070,81,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCO)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCNC(=O)C=C,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.3766045570373535,0.8958675265312195,3.594002974118937,4.697800000000004,Targeted_search
TS0071,82,CCCCCCCCCCC(OCCO)(OCCOCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCN,*CCO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.373459815979004,0.9822465777397156,3.4278187787269907,4.396800000000003,Targeted_search
TS0072,83,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCNC(=O)C=C,*CCO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.37103271484375,0.905349612236023,3.554360820696189,4.740300000000004,Targeted_search
TS0073,84,CCCCCCCCCCC(OCCN)(OCCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.370261192321777,0.9782400131225586,3.382141736392218,4.736700000000004,Targeted_search
TS0074,85,CCCCCCCCCCC(OCCCO)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCCO,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.367419719696045,0.9315512776374816,3.4567494286999096,4.988500000000005,Targeted_search
TS0075,86,CCCCCCCCCCC(OC)(OC)OCCCCO,orthoester,*CCCCO,*C,*OC,*CCCCCCCCCC,6.367049217224121,0.6918743252754211,2.6578519646303445,4.252900000000004,Targeted_search
TS0076,87,CCCCCCC(OCCC)(ONCC)c1ccc(N(C)C)cc1,ketal,*NCC,*CCC,*c1ccc(N(C)C)cc1,*CCCCCC,6.364571571350098,0.5118283033370972,3.297278240006966,4.843500000000004,Targeted_search
TS0077,88,CCCCCCCCCCC(OCC)(OCCNC(C)=O)OC(C)C,orthoester,*CCNC(C)=O,*C(C)C,*OCC,*CCCCCCCCCC,6.3634233474731445,0.6449191570281982,3.210663337196336,4.785200000000004,Targeted_search
TS0078,89,CCCCCCCCCCC(OCN)(OCCNC(=O)OC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)OC,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.362093925476074,0.9023801684379578,3.443091450791768,4.701400000000004,Targeted_search
TS0079,90,CCCCCCCCCCC(OC)(OCCCN)OC(C)C,orthoester,*CCCN,*C(C)C,*OC,*CCCCCCCCCC,6.361435413360596,0.5570927858352661,3.222788597084678,4.607800000000004,Targeted_search
TS0080,91,CCCCCCC(ONCC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*NCC,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.360777854919434,0.5077592730522156,3.3437211895946906,4.841900000000004,Targeted_search
