Candidate_ID,Source_Molecule_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,SA_score,logP,Predicted_log_kH,Prediction_uncertainty,High_value_flag,Beyond_limit_flag
HTS009178,virt_molwt_v1_full_0307637,9178,C=CC(=O)NCCOCCOC(CCCC)(Oc1ccccc1C(=O)O)c1ccc(O)cc1,ketal,C=CC(=O)NCCOCC*,c1(*)ccccc1C(=O)O,c1(*)ccc(O)cc1,CCCC*,3.2747654562678505,3.847800000000002,4.10728474,0.3918831847724348,TRUE,FALSE
HTS009179,virt_molwt_v1_full_1474516,9179,C=CC(=O)NCCOCCOC(CCCC)(OCC)Oc1ccc([N+](=O)[O-])cc1C(=O)O,orthoester,c1(*)ccc([N+](=O)[O-])cc1C(=O)O,C=CC(=O)NCCOCC*,CCO*,CCCC*,3.457152750378233,2.8877,4.10722714,0.3937270846978277,TRUE,FALSE
HTS009180,virt_molwt_v1_full_0678296,9180,C=CCCCOC(CC(C)C)(OCCOCCN)c1ccccc1,ketal,C(COCCN)*,C(CCC=C)*,c1(*)ccccc1,C(C(C)C)*,3.3438424359953505,3.8602000000000025,4.10722032,0.2949037823632134,TRUE,FALSE
HTS009181,virt_molwt_v1_full_0082995,9181,CCCCC(OC)(OCCCl)OC(C)(C)C,orthoester,C(CCl)*,CC(C)(C)*,CO*,CCCC*,3.606306491322636,3.5473000000000026,4.10718702,0.2912404348275313,TRUE,FALSE
HTS009182,virt_molwt_v1_full_0808576,9182,CCCOC(OCC)(Oc1cccc(C(C)=O)c1)C(CC)CC,orthoester,c1(*)cccc(C(C)=O)c1,CCC*,CCO*,C(CC)(CC)*,3.278440646090994,4.821100000000005,4.1071743,0.5092515708603714,TRUE,FALSE
HTS009183,virt_molwt_v1_full_1333216,9183,CCOC(CC)(OCCOC)Oc1c(C(=O)O)cccc1C(=O)O,orthoester,c1(*)c(C(=O)O)cccc1C(=O)O,C(COC)*,CCO*,C(C)*,3.250862975501094,2.2251,4.10716234,0.3680694029968024,TRUE,FALSE
HTS009184,virt_molwt_v1_full_0231079,9184,CCC(OC(C)C)(OC1CCCCC1C(=O)O)c1ccc(C)cc1,ketal,C1(*)CCCCC1C(=O)O,C(C)(C)*,c1(*)ccc(C)cc1,C(C)*,3.659998386388176,4.642820000000004,4.10715046,0.394526592405098,TRUE,FALSE
HTS009185,virt_molwt_v1_full_1139404,9185,CCCCCC(OCC)(OCCCNC(=O)C(F)(F)F)OCc1ccccc1,orthoester,C(CCNC(=O)C(F)(F)F)*,C(c1ccccc1)*,CCO*,CCCCC*,3.1486242250494776,4.559000000000004,4.107089019999999,0.4915139120184998,TRUE,FALSE
HTS009186,virt_molwt_v1_full_0251352,9186,CCCOC(OC1CCCCC1C(=O)O)(c1ccc2c(c1)CC(=O)N2O)C1CC1,ketal,C1(*)CCCCC1C(=O)O,CCC*,c1(*)ccc2c(c1)CC(=O)N2O,C1(*)CC1,4.219549695838575,3.614300000000002,4.1070775,0.3695005237379183,TRUE,FALSE
HTS009187,virt_molwt_v1_full_0299104,9187,CCOC(CC(C)(C)C)(OCCOC)Oc1ccccc1C(=O)O,orthoester,c1(*)ccccc1C(=O)O,C(COC)*,CCO*,C(C(C)(C)C)*,3.184273626388668,3.5531000000000024,4.10705948,0.4946568449780086,TRUE,FALSE
HTS009188,virt_molwt_v1_full_0449796,9188,CN(C)c1ccc(C(OCCN2C(=O)c3ccccc3C2=O)(OCc2ccccc2)C2CC2)cc1,ketal,C(CN1C(=O)c2ccccc2C1=O)*,C(c1ccccc1)*,c1(*)ccc(N(C)C)cc1,C1(*)CC1,3.1197302106317637,4.845000000000005,4.10701308,0.681235471475047,TRUE,FALSE
